着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
8,7,10,マイティーワークス,牝5,55,ミナリ,01:22.7,1.1/4,9,72.6,33.9,12月12日,美浦菊川,474(-4)
9,6,8,ボールドジャパン,牡9,57,江田照,01:22.8,1月2日,10,108.7,34.6,6月6日,美浦蛯名,520(-4)
10,2,2,スノードーナツ,牝6,55,岩部,01:22.9,1月2日,12,377.9,34.2,12月12日,美浦石毛,494(+8)
11,5,7,ホウオウスクラム,牡5,57,大野,01:23.0,1月2日,7,31.5,34.9,5月5日,美浦奥村武,516(+2)
12,3,3,スワンボート,牡10,56,☆菊沢,01:23.2,1.1/4,13,449.9,35.3,3月4日,美浦浅野,494(+22)
13,8,12,ナイスドゥ,牝5,53,△木幡育,01:25.1,大,11,212.9,36.7,6月9日,美浦清水英,434(+6)
1,7,14,トミケンレゲンダ,牡3,56,石橋脩,01:25.4,,1,3.2,36.6,3月3日,美浦大和田,468(+4)
2,6,11,クロッチ,セ3,56,大野,01:26.0,3.1/2,5,7.3,37.3,2月2日,美浦杉浦,460(+2)
3,6,12,トーセンリズム,牡3,55,☆菊沢,01:26.2,1.1/4,7,20.9,37.8,1月1日,美浦深山,476(+12)
4,5,10,チートコード,牡3,56,吉田豊,01:26.3,3月4日,2,4.3,37.4,3月3日,美浦尾関,510(-4)
5,7,13,トーセンマイベスト,牡3,55,☆野中,01:26.9,3.1/2,8,23.5,37.8,6月5日,美浦上原,480(+8)
6,4,8,バルドダンサー,牡3,56,Ｍデム,01:27.0,クビ,3,5.2,37.9,6月5日,美浦和田雄,462(+2)
7,5,9,ネオトゥルー,牡3,56,津村,01:27.0,クビ,9,24.4,37.7,8月8日,美浦鈴木伸,480(-4)
8,3,5,ナックジーニアス,牡3,56,田中勝,01:27.4,2.1/2,6,19.8,37.7,11月11日,美浦宗像,522(+2)
9,4,7,トーセンリヤン,牡3,56,横山和,01:27.7,1.1/2,4,7.1,38.5,5月5日,美浦池上,434(-8)
10,1,2,マクラーレンベール,牡3,56,北村宏,01:27.7,ハナ,11,66.4,38.1,11月11日,美浦勢司,512(+10)
11,8,15,キタノフウライジン,牡3,56,木幡巧,01:28.1,2.1/2,13,150.1,38,14-14,美浦松永康,480(0)
12,2,4,ヘニービュット,牡3,56,ミナリ,01:28.2,1月2日,12,66.5,38.8,8月9日,美浦池上,490(-6)
13,8,16,ゼクスバンデ,牡3,56,嘉藤,01:28.9,4,15,176.6,38.9,14-13,美浦高市,428(0)
14,2,3,タイムカプセル,牡3,56,菅原隆,01:29.4,3,16,469.5,40,8月9日,美浦土田,442(+4)
15,3,6,タイダルフォース,牡3,56,フォー,01:29.5,1月2日,10,58.5,39.4,13-14,美浦中舘,452(0)
16,1,1,シャイニーコースト,セ3,56,江田照,01:30.6,7,14,168.3,38.3,16-16,美浦菊川,472(-10)
1,7,14,ダルムシュタット,牡3,56,田中勝,02:15.6,,2,3.5,39.1,4-5-3-3,美浦栗田,468(-4)
2,7,13,メジャーブレイク,牡3,56,ルメー,02:16.0,2.1/2,1,2.4,39.4,6-5-3-4,美浦水野,530(0)
3,1,2,タイタンブレイン,牡3,56,内田博,02:16.1,1月2日,3,7.7,38.6,15-16-12-12,美浦奥平,520(-18)
4,2,4,ミヤビキング,牡3,55,☆野中,02:16.2,1月2日,8,59.2,39.9,1-1-1-1,美浦小島,528(+2)
5,1,1,サクラヴァルール,牡3,56,横山典,02:16.3,3月4日,6,11,38.7,14-14-14-12,美浦尾関,480(+6)
6,3,5,ゲンキチボン,牡3,56,木幡巧,02:16.4,1月2日,9,71.9,39.1,9-11-10-9,美浦堀井,466(-2)
7,4,7,キューブリック,牡3,56,ミナリ,02:17.6,7,11,81.9,41.2,2-2-2-2,美浦高柳瑞,518(+2)
8,6,11,ウインラディアント,牡3,56,フォー,02:17.7,1月2日,5,8.9,41.1,4-3-3-4,美浦畠山,548(+8)
9,6,12,クンクンクン,牝3,54,菅原隆,02:18.1,2.1/2,14,346.5,40.1,9-12-16-15,美浦加藤和,436(-2)
10,5,9,エアリアルシティー,牡3,56,岩部,02:18.3,1,13,315,41.2,9-8-8-7,美浦石毛,476(+4)
11,8,16,フリーファッション,牡3,56,嘉藤,02:18.5,1.1/4,16,611.7,41.4,9-10-8-7,美浦佐藤,470(-6)
12,3,6,ドリームロマン,牝3,54,丸山,02:18.7,1.1/4,12,167,41.4,15-14-10-9,美浦根本,468(-6)
13,4,8,キールカーディナル,牡3,56,岩田康,02:18.8,1月2日,7,24.8,40.8,8-8-12-15,美浦田中博,468(0)
14,2,3,ネイチャーローズ,牡3,56,武士沢,02:19.6,5,15,484.8,41.8,13-13-14-14,美浦根本,464(-4)
15,5,10,エンパイアブレイズ,牡3,56,井上,02:21.6,大,10,76.4,44.6,3-3-3-6,美浦田島,436(-6)
16,8,15,インビジブルナイツ,牡3,55,☆菊沢,02:26.2,大,4,8.1,48.9,6-7-7-9,美浦菊沢,522(0)
1,8,15,アイノア,牝3,54,津村,01:38.4,,7,29,38,1月1日,美浦青木,482(-4)
2,5,10,サトノアレックス,牡3,56,Ｍデム,01:38.4,アタマ,1,2,37.6,7月3日,美浦古賀慎,494(+2)
3,8,16,シゲルタイタン,牡3,56,ルメー,01:38.8,2.1/2,2,4.6,38.3,2月2日,美浦伊藤圭,476(0)
4,1,2,テンチシンメイ,牡3,56,石橋脩,01:39.1,2,6,21.8,37.5,10月9日,美浦小笠,500(-2)
5,1,1,ヒロキング,牡3,56,内田博,01:39.2,クビ,3,6.7,37.7,12月9日,美浦黒岩,492(-4)
6,3,6,トキメキナイス,牡3,56,江田照,01:39.6,2.1/2,8,31,37.8,12月13日,美浦佐藤,462(0)
7,6,12,セイユメアカリ,牡3,56,北村宏,01:39.9,1.3/4,4,9.7,39.2,3月3日,美浦浅野,446(-2)
8,6,11,エコロキングダム,牡3,56,木幡巧,01:40.0,1月2日,13,196.3,39,5月6日,美浦岩戸,476(0)
9,5,9,センノベステス,牡3,56,横山和,01:40.0,クビ,11,81.9,38.7,10月8日,美浦南田,480(+2)
10,4,8,ブライトオーシャン,牡3,56,大野,01:40.6,3.1/2,5,10.6,39.8,3月3日,美浦新開,504(-2)
11,3,5,タイキグロワール,牡3,56,丸山,01:40.7,1月2日,12,86.4,38.6,16-14,美浦矢野,482(-2)
12,7,14,ビレッジイーグル,牡3,56,武藤,01:40.9,1.1/4,10,72.2,39.9,5月6日,美浦竹内,496(+8)
13,2,3,オンリーワンボーイ,牡3,56,岩田康,01:41.0,3月4日,9,31.5,39.5,8月9日,美浦斎藤誠,448(0)
14,4,7,フェスティヴスーリ,牡3,56,田中勝,01:41.9,5,14,224.6,39.4,14-16,美浦天間,464(+6)
15,2,4,セイウンソルジャー,牡3,56,フォー,01:42.2,2,15,293.4,39.8,14-15,美浦水野,512(-6)
16,7,13,アテンミラクル,牡3,55,☆菊沢,01:42.8,3.1/2,16,395,41.3,8月9日,美浦高橋祥,448(+6)
1,8,15,テーオーケインズ,牡3,56,ルメー,01:37.4,,2,3.6,36,7月5日,栗東高柳大,482(0)
2,6,11,ダノンファスト,牡3,56,横山典,01:37.4,クビ,1,1.7,35.4,13-13,美浦菊沢,456(-4)
