着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
15,4,7,アネモネテソーロ,牝3,54,江田照,01:41.6,2,6,15.3,40.3,6月9日,美浦高木,476(-4)
16,7,13,テイエムロング,牝3,54,武士沢,01:44.4,大,15,478.6,42.7,12月12日,美浦石栗,412(0)
1,5,10,コラルノクターン,牡3,56,福永,01:40.6,,1,2.7,36.5,5月4日,栗東藤原英,510(0)
2,1,1,トミケンレゲンダ,牡3,56,石橋脩,01:40.9,1.3/4,9,26.4,37.1,1月1日,美浦大和田,464(0)
3,8,15,ティラミス,牝3,54,Ｍデム,01:41.7,5,5,8.1,37.6,9月4日,栗東安田隆,458(0)
4,5,9,キタサンロッキー,牡3,56,北村宏,01:41.8,クビ,2,6.4,38,2月2日,栗東清水久,498(0)
5,3,6,オウケンロジータ,牝3,54,武士沢,01:42.0,1.1/2,13,173.8,37.4,11月11日,栗東藤岡,508(0)
6,4,7,ムーンレース,牡3,56,坂井,01:42.2,1,4,7.9,37.7,11月9日,栗東高柳大,514(0)
7,2,4,トーセンライブ,牡3,54,△木幡育,01:42.6,2.1/2,7,11,37.7,15-13,美浦尾形,504(0)
8,7,14,プラズマテイル,牝3,54,嘉藤,01:43.0,2.1/2,10,34.4,38.9,5月4日,美浦大和田,414(0)
9,8,16,フルオブウィット,牡3,56,ミナリ,01:43.1,1月2日,6,10.9,39,7月4日,美浦池上,492(0)
10,6,12,キタサンレイワ,牝3,54,石川,01:44.0,5,11,62.9,39.9,3月4日,美浦小笠,522(0)
11,6,11,シルヴァーミリオン,牡3,56,武豊,01:44.0,クビ,3,7.9,40.1,3月2日,栗東鈴木孝,452(0)
12,3,5,オーサムパッション,牡3,56,横山典,01:44.1,1月2日,8,16.4,39.5,9月11日,美浦斎藤誠,498(0)
13,7,13,レジュノア,牝3,54,木幡巧,01:44.6,3,16,306.6,40.1,8月9日,美浦杉浦,444(0)
14,2,3,ドントクライマリア,セ3,56,井上,01:44.8,1.1/4,14,198.7,39.9,11月13日,美浦林,444(0)
15,1,2,チャンピオンフジ,牡3,55,☆菊沢,01:46.0,7,12,137.4,40.8,11月15日,美浦勢司,528(0)
16,4,8,キエンセラ,牡3,56,松岡,01:47.0,6,15,297.6,41.9,16-15,美浦堀井,442(0)
1,2,4,マイネルブラシウス,牡3,56,津村,01:47.3,,4,7.2,34.3,2004/3/3,美浦尾関,488(+24)
2,4,7,ラザフォード,牝3,54,ルメー,01:47.4,3月4日,1,3.8,34.6,2002/2/2,美浦藤沢和,444(-2)
3,6,11,ダイワミラクル,牡3,56,北村宏,01:47.9,3,5,7.3,33.8,2009/10/10,美浦鹿戸,500(-2)
4,1,1,コスモストライカー,牡3,54,石橋脩,01:48.0,3月4日,7,11.5,35.3,2001/1/1,美浦加藤士,478(0)
5,8,16,ドリームメッセージ,牡3,56,丸山,01:48.3,2,6,8.4,34,2012/12/12,美浦中川,444(0)
6,7,14,ルカ,牡3,56,マーフ,01:48.5,1,2,4.6,34.7,2008/10/9,美浦戸田,490(-2)
7,5,10,ブライドグルーム,牡3,56,ミナリ,01:48.6,3月4日,8,13.6,35,2004/8/8,美浦堀,452(+2)
8,1,2,テイエムクロホマレ,牡3,56,嘉藤,01:49.3,4,13,319.2,36,2009/6/5,美浦石栗,472(+4)
9,6,12,ラストエクセル,牝3,54,Ｍデム,01:49.6,2,3,6.1,36.3,2004/6/5,美浦伊藤大,436(-10)
10,7,13,ベルウッドアサヒ,牡3,56,吉田豊,01:49.8,3月4日,10,98,35.2,14-15-14,美浦武市,440(-12)
11,3,6,ホウオウマライア,牝3,54,木幡巧,01:49.9,1月2日,11,178.3,35.5,2012/12/13,美浦牧,436(0)
12,3,5,ゼンダンスネーク,牝3,54,横山和,01:49.9,ハナ,12,273.1,36.6,2009/3/5,美浦土田,456(-10)
13,8,15,ジツリキニコマル,牝3,54,武士沢,01:49.9,ハナ,15,411,35.4,14-14-14,美浦稲垣,440(-14)
14,4,8,フィーユレヴーズ,牝3,54,福永,01:50.0,3月4日,9,31.3,37,2002/3/3,美浦斎藤誠,442(+2)
15,2,3,ファイナルブション,牝3,54,宮崎,01:50.5,3,16,487.3,35.3,16-16-16,美浦青木,430(-8)
16,5,9,ディムッター,牝3,54,江田照,01:53.7,大,14,359.3,39.7,2004/8/10,美浦佐藤,458(0)
1,6,11,オーロアドーネ,牡3,56,マーフ,01:35.3,,1,2.9,34.4,5月4日,美浦戸田,486(0)
2,7,14,イルミナル,牝3,54,石橋脩,01:35.6,2,3,8.6,34,13-13,美浦奥村武,418(0)
3,7,13,レッドルピナス,牝3,54,北村宏,01:35.6,ハナ,2,3.3,34.6,5月7日,栗東中内田,416(0)
4,6,12,ブレイクザボーダー,牡3,56,佐藤友,01:35.8,1.1/4,10,28.1,35.1,2月2日,美浦畠山,476(0)
5,1,2,キタノポケット,牝3,53,☆菊沢,01:36.3,3,13,95.2,34.8,10月10日,美浦深山,382(0)
6,5,9,ラインシュプール,牝3,54,武士沢,01:36.6,1.3/4,7,17.2,34.8,15-14,美浦水野,410(0)
7,3,6,ランジョウ,牝3,54,坂井,01:36.6,ハナ,5,11.2,35.4,8月8日,美浦矢野,434(0)
8,2,4,エイシンジャスミン,牝3,54,石川,01:36.7,クビ,4,11.1,35.8,5月4日,栗東大久保,434(0)
9,1,1,ゲンパチビーム,牡3,56,岩部,01:36.7,ハナ,15,169.9,34.9,13-14,美浦萱野,416(0)
10,4,8,ジュネス,牝3,54,吉田豊,01:36.9,1.1/2,11,34.4,35.7,8月8日,美浦本間,500(0)
11,8,15,シゲルパック,牝3,54,江田照,01:37.6,4,6,14.6,36.1,10月10日,美浦田中清,498(0)
12,3,5,ナムラサバイバー,牡3,56,横山和,01:37.7,1月2日,8,27.2,36.2,10月10日,美浦石栗,462(0)
13,4,7,シュライクス,牡3,56,嘉藤,01:37.8,1月2日,9,27.9,37.2,1月1日,美浦水野,426(0)
14,2,3,サクヤコノハナ,牝3,54,柴田善,01:38.4,3.1/2,12,59.9,37.5,3月4日,美浦粕谷,422(0)
15,8,16,ワイアヴィー,牝3,54,木幡巧,01:39.6,7,16,269.4,38.9,3月2日,美浦岩戸,426(0)
16,5,10,キューティーカノン,牝3,53,☆野中,01:41.3,大,14,108.7,38.1,16-16,美浦星野,432(0)
1,2,4,ゴールドスミス,セ6,57,武豊,02:14.8,,2,4,37.4,1-1-1-1,美浦高柳瑞,524(0)
2,4,7,エグジットラック,牡6,57,江田照,02:14.9,1月2日,11,36.9,36,16-16-15-16,美浦田村,520(-8)
3,6,12,トランスポーター,牡4,56,吉田豊,02:15.0,3月4日,10,33.5,37.5,2-2-2-2,美浦戸田,494(-2)
4,7,13,ニューツーリズム,牡4,56,Ｍデム,02:15.2,1.1/4,4,7.6,37.5,3-3-3-3,美浦黒岩,508(+6)
5,3,6,ドーバーテソーロ,牡4,56,田辺,02:15.3,3月4日,7,22.4,37.3,9-9-10-7,美浦奥平,486(-4)
6,8,16,ジェイケイエース,牡4,56,丸山,02:15.6,2,5,8.9,37.7,8-6-6-6,美浦松永康,548(+6)
7,4,8,ロジポルカ,牡4,56,内田博,02:15.7,クビ,6,13.4,37.1,14-14-15-13,美浦菊沢,468(0)
8,5,10,ボヘミアラプソディ,牡4,56,ルメー,02:15.7,アタマ,1,3.4,37.1,14-14-14-13,美浦伊藤圭,488(+10)
9,3,5,ユメノサキ,牡5,57,福永,02:15.9,1.1/4,3,7,38.2,3-3-3-3,美浦新開,554(-2)
10,8,15,ヤマニンバンタジオ,セ6,57,嘉藤,02:16.3,2.1/2,14,84.5,38.1,12-12-12-11,美浦田島,540(-4)
11,2,3,フクサンダーク,牡4,55,☆野中,02:16.4,1月2日,8,25,38.1,9-9-10-11,美浦小西,494(-2)
12,1,2,ゴールデンフィジー,牝5,55,木幡巧,02:16.4,ハナ,12,41.7,38.4,6-6-6-7,美浦牧,440(+4)
13,6,11,アララトテソーロ,牡4,56,武藤,02:16.5,クビ,13,51.8,38.4,6-6-8-7,美浦和田雄,490(+4)
14,5,9,シャイニーロケット,牡5,57,柴田善,02:17.1,3.1/2,16,126.6,38.6,12-12-13-13,美浦佐藤,464(+2)
15,7,14,ベルゲンハーバー,牡4,56,ミナリ,02:17.2,3月4日,9,27.5,39.2,11-9-8-7,美浦斎藤誠,466(+10)
16,1,1,ウイニングメイビー,牡4,56,北村宏,02:17.7,3,15,117.4,40,3-3-3-3,美浦稲垣,482(-6)
1,5,10,フローラルパーク,牝4,55,武豊,01:24.7,,1,5.7,36.4,2月2日,美浦加藤征,490(-4)
2,2,4,コーラルプリンセス,牝6,55,丸山,01:24.7,アタマ,6,8.5,36.1,4月4日,美浦高橋裕,532(+2)
3,8,15,ボンディマンシュ,セ4,57,坂井,01:24.8,3月4日,3,6.5,36.2,4月4日,栗東中内田,490(+4)
4,7,13,エピックアン,牡5,57,田辺,01:24.9,クビ,5,6.8,35.5,12月14日,美浦大和田,506(-8)
5,6,11,アオイサンシャイン,牝7,55,マーフ,01:25.0,1月2日,7,9.7,36.7,3月2日,美浦古賀慎,524(-4)
6,5,9,ハヤブサレジェンド,牡5,56,☆菊沢,01:25.1,3月4日,10,19.4,36.9,1月1日,美浦伊藤圭,506(+4)
7,3,5,ベイオブコトル,牡4,57,福永,01:25.2,1月2日,2,5.7,36.4,7月7日,美浦高柳瑞,444(+2)
8,8,16,ニシノジャガーズ,牡5,57,岩部,01:25.3,1月2日,4,6.7,35.5,16-16,美浦萱野,494(0)
9,1,2,クレディブル,牡5,57,ルメー,01:25.4,クビ,8,13.2,36.2,12月10日,美浦萩原,510(0)
10,4,8,テキスタイルアート,セ8,57,北村宏,01:25.4,クビ,16,201.6,35.9,12月13日,美浦加藤和,494(+12)
11,7,14,ワンダープラヤアン,牡6,56,☆野中,01:25.4,ハナ,14,168.3,36.2,10月10日,栗東森田,486(-6)
12,4,7,ミッキーボニータ,セ5,57,横山典,01:25.5,クビ,11,55.4,36,14-13,美浦萩原,452(-2)
13,1,1,サンタナブルー,牡8,57,川須,01:25.9,2.1/2,15,176.1,37,10月7日,美浦和田雄,488(+12)
14,6,12,モリトシラユリ,牝6,53,△木幡育,01:26.2,2,12,86.2,37.4,7月7日,美浦堀井,486(-8)
15,2,3,コールドターキー,牡5,57,Ｍデム,01:29.2,大,9,17.2,40.6,4月4日,美浦佐藤,470(-4)
16,3,6,ヘニッヒ,セ4,57,内田博,01:29.2,クビ,13,165.4,39.6,7月13日,美浦武井,468(+14)
1,8,13,ショウナンハレルヤ,牝3,54,丸山,01:47.2,,10,99.4,34.1,2002/2/2,美浦矢野,456(-2)
2,2,2,アオイクレアトール,牡3,56,武豊,01:47.4,1.1/4,4,5.7,34.1,2003/3/4,美浦古賀慎,474(+12)
3,4,4,セントオブゴールド,牡3,56,ルメー,01:47.5,1月2日,2,4.4,33.7,2010/11/11,美浦木村,466(+26)
4,7,11,ヴァルコス,牡3,56,マーフ,01:47.5,アタマ,3,4.7,34.2,2006/6/4,栗東友道,500(+6)
5,3,3,ルビーカサブランカ,牝3,54,福永,01:47.6,1月2日,6,11.3,34.1,2007/7/7,栗東須貝,462(-2)
6,7,10,ウインカーネリアン,牡3,56,松岡,01:47.6,ハナ,5,10.9,34.6,2001/1/1,美浦鹿戸,478(-8)
7,1,1,フォースオブウィル,牡3,56,宮崎,01:47.6,クビ,7,18.3,34.3,2003/3/4,美浦粕谷,458(+2)
8,4,5,ラグビーボーイ,牡3,56,北村宏,01:47.7,クビ,8,53.1,34.2,2007/7/7,美浦勢司,494(-10)
9,5,7,サトノフウジン,牡3,56,石橋脩,01:47.8,1月2日,1,2.8,34.1,2012/11/11,美浦堀,470(0)
10,5,6,マイネルソラス,牡3,56,津村,01:48.2,2.1/2,9,71.1,34.1,12-13-13,美浦和田郎,470(0)
11,6,9,ナーリー,牡3,56,佐藤友,01:48.8,3.1/2,13,322.2,35.6,2003/3/3,地方井上孝,462(-9)
12,6,8,タイムマシン,牡3,56,ミナリ,01:50.1,8,11,137.5,36.6,2010/10/7,美浦手塚,446(+4)
13,8,12,コスモスタック,牡3,56,野中,01:50.2,3月4日,12,179.9,36.7,2007/7/7,美浦堀井,456(0)
1,7,10,ボスジラ,牡4,55,武豊,02:24.7,,1,3.3,34.1,9-8-7-7,美浦国枝,516(-2)
2,3,3,サンアップルトン,牡4,55,柴田善,02:24.7,クビ,5,8.6,34.1,5-5-7-7,美浦中野,472(+18)
3,6,8,トラストケンシン,牡5,56,マーフ,02:25.0,1.1/2,2,3.7,34.6,3-3-4-5,美浦高橋文,476(+4)
4,4,5,マコトガラハッド,セ7,54,ミナリ,02:25.3,2,10,80.2,34.9,4-3-4-5,栗東鮫島,492(-8)
5,2,2,ヘリファルテ,牡6,56,ルメー,02:25.3,クビ,4,7.1,34.4,6-8-9-9,美浦堀,492(+18)
6,4,4,ベイビーステップ,牡6,55,武藤,02:25.4,クビ,9,25.4,34.5,11-11-10-9,美浦菊川,492(+2)
7,8,13,グランドサッシュ,牡9,54,津村,02:25.5,1月2日,11,141.7,34.4,10-10-10-12,美浦武市,472(0)
8,6,9,ミスマンマミーア,牝5,53,福永,02:25.7,1.1/4,6,11.7,35.5,6-5-4-3,栗東寺島,456(-4)
9,5,7,エクセレントミスズ,牡7,53,内田博,02:25.9,1.1/4,12,224.3,34.7,12-12-13-12,栗東藤沢則,454(-14)
10,8,12,ホウオウドリーム,牡6,57,吉田豊,02:25.9,ハナ,8,16.7,34.9,12-12-12-11,栗東矢作,508(-14)
11,5,6,ミッキーバード,牡5,54,横山典,02:25.9,ハナ,3,6.4,35.7,2-2-3-3,美浦尾関,522(-8)
12,1,1,エストスペリオル,牡5,54,Ｍデム,02:26.7,5,7,14.6,36.6,6-5-2-2,美浦堀,456(0)
13,7,11,オウケンブラック,牡9,52,北村宏,02:27.2,3,13,313,39,1-1-1-1,美浦田中剛,488(+6)
1,6,11,モズアスコット,牡6,58,ルメー,01:22.7,,3,9.9,34.7,9月8日,栗東矢作,494(-4)
2,3,5,コパノキッキング,セ5,58,マーフ,01:22.9,1.1/4,1,1.9,35.6,2月2日,栗東村山,482(-2)
3,4,7,スマートアヴァロン,牡8,56,石橋脩,01:23.1,1,9,39,34.6,12月12日,栗東西園,512(-4)
4,8,15,ダノンフェイス,牡7,56,田辺,01:23.2,3月4日,5,11.8,35.3,5月6日,栗東大久保,534(-4)
5,3,6,ワイドファラオ,牡4,58,福永,01:23.2,アタマ,4,10.1,35.5,4月4日,栗東角居,508(+6)
6,1,1,テーオージーニアス,牡5,56,川須,01:23.4,1.1/4,7,25.6,35.4,8月8日,栗東梅田,508(+4)
7,5,10,ノボバカラ,牡8,56,内田博,01:23.4,クビ,15,299.3,35.1,9月10日,栗東森,510(-10)
8,2,4,ワンダーリーデル,牡7,57,横山典,01:23.5,1月2日,6,12.6,34.7,12月13日,栗東安田翔,530(-2)
9,4,8,ブルベアイリーデ,牡4,56,丸山,01:23.6,1月2日,8,34,35.2,11月10日,栗東杉山,492(+6)
10,5,9,カフジテイク,牡8,56,津村,01:23.6,クビ,11,60.9,34.6,14-14,栗東湯窪,500(-6)
11,2,3,ミッキーワイルド,牡5,56,Ｍデム,01:24.0,2.1/2,2,4.9,36.2,5月5日,栗東安田隆,514(+8)
12,6,12,アードラー,牡6,56,ミナリ,01:24.0,ハナ,12,97.4,34.9,14-14,栗東音無,482(-6)
13,1,2,テーオーヘリオス,牡8,56,石川,01:24.2,1.1/4,14,266.3,36.3,5月6日,栗東梅田,520(-2)
14,8,16,ドリームキラリ,牡8,56,坂井,01:24.3,3月4日,10,41.2,37,1月1日,栗東矢作,488(-6)
15,7,13,ヨシオ,牡7,56,佐藤友,01:24.7,2.1/2,13,134.9,37.2,3月3日,栗東森,486(-4)
16,7,14,サングラス,牡9,56,北村宏,01:24.7,ハナ,16,387.2,35.3,16-16,栗東谷,508(-4)
1,6,6,エクセランフィーユ,牝4,54,マーフ,01:47.8,,1,2.8,33.2,2001/1/1,美浦木村,422(+16)
2,8,9,ダディーズマインド,牡4,56,宮崎,01:47.9,1月2日,5,8.8,33.1,2002/2/2,美浦青木,496(+24)
3,4,4,トーセングラン,牡4,56,横山和,01:48.2,2,2,3.7,33.1,2004/5/5,美浦田村,436(+4)
4,7,8,エピックスター,セ5,57,田辺,01:48.3,1月2日,4,7.6,33.2,2006/7/5,美浦田村,438(0)
5,3,3,ショウナンバビアナ,牝4,54,吉田豊,01:48.4,1月2日,6,9.5,33.5,2003/3/3,美浦上原,476(-2)
6,1,1,エニグマバリエート,牡8,57,坂井,01:48.7,2,9,144.5,33.6,2006/6/5,美浦戸田,494(0)
7,2,2,エターナルヴィテス,牡4,56,田中勝,01:49.1,2,7,12.7,33.8,2008/7/8,美浦松山,492(+4)
8,5,5,タニノホウザン,牡6,57,武士沢,01:49.4,2,10,290.6,33.9,2010/10/10,美浦星野,472(+1)
9,7,7,エフティスパークル,牡7,57,Ｍデム,01:49.4,ハナ,8,19.2,34,2009/9/8,美浦鹿戸,468(-4)
10,8,10,キングテセウス,牡4,56,ルメー,01:49.6,1.1/4,3,6.8,34.7,2004/3/3,美浦木村,516(-2)
1,7,13,トリプルシックス,牝3,54,横山和,01:19.6,,3,8.3,37.4,2月2日,美浦古賀史,468(+2)
2,1,2,ヨシオドライヴ,牡3,56,大庭,01:19.7,3月4日,7,16,36.5,9月9日,美浦清水英,490(-6)
3,4,7,ダイシンウィット,牡3,56,津村,01:19.9,1.1/2,2,5.7,37.8,1月1日,美浦小笠,498(-2)
4,2,4,スズカキングボス,牡3,56,内田博,01:20.0,クビ,1,2,37.8,2月2日,美浦田中剛,462(-4)
5,5,9,ニーケススマイル,牡3,56,松岡,01:20.3,2,4,9.8,37.9,5月4日,美浦蛯名,458(0)
6,1,1,ヤサカパフィー,牝3,54,武藤,01:20.8,3,6,12,38.4,4月4日,美浦水野,472(+4)
7,4,8,ゴラッソゴール,牡3,56,田辺,01:20.9,1月2日,8,28.4,37,12月12日,美浦武市,470(+4)
8,5,10,スイスライツ,牡3,56,江田照,01:21.2,1.3/4,5,10.3,38.8,5月4日,美浦竹内,462(-2)
9,3,5,ローズブランシェ,牝3,54,武士沢,01:21.3,1月2日,11,84.5,38.5,8月7日,美浦小桧山,436(-8)
10,3,6,ビッグセント,牡3,56,北村宏,01:21.3,アタマ,13,226.8,37.8,10月10日,美浦田中清,452(+4)
11,2,3,シゲルナガレボシ,牝3,53,☆菊沢,01:21.7,2.1/2,12,118.3,38.8,7月7日,美浦浅野,450(+6)
12,8,16,ダンブルドア,牡3,56,嘉藤,01:21.7,ハナ,10,46.5,37.4,14-14,美浦田中清,534(+4)
13,6,12,レイニーウェイ,牡3,56,大野,01:22.2,3,9,33.4,38.5,10月11日,美浦田島,456(+4)
14,6,11,ナックライオン,牡3,54,△木幡育,01:22.2,クビ,14,321.1,38,12月13日,美浦杉浦,524(+3)
14,8,15,クンクンクン,牝3,54,岩部,01:22.2,クビ,15,381.3,36.6,16-16,美浦加藤和,438(-4)
16,7,14,ゴーイングヒーロー,牡3,56,宮崎,01:22.5,1.3/4,16,472.7,38.1,14-14,美浦松山,422(+14)
1,5,10,レッチェバロック,牝3,54,ルメー,01:25.1,,1,2.1,36.9,1月1日,美浦藤沢和,484(0)
2,6,12,プレシャスガール,牝3,54,津村,01:27.1,大,2,2.5,38.4,4月4日,栗東藤岡,458(0)
3,8,16,バルボア,牡3,56,横山和,01:27.8,4,8,42.6,39.4,3月2日,栗東飯田祐,476(0)
4,1,2,ニシノリーチキング,牡3,56,松岡,01:27.9,1月2日,3,7.4,39,5月5日,美浦松山,506(0)
5,7,14,ヤマタケヴォイス,牡3,56,岩部,01:28.3,2.1/2,4,15.2,39.9,2月2日,美浦萱野,478(0)
6,2,4,アイドルヲサガセ,牝3,54,田辺,01:28.4,3月4日,5,24.3,38.5,8月8日,美浦小西,446(0)
7,1,1,ポッシビリテ,牝3,54,江田照,01:29.0,3.1/2,10,64.5,39.6,7月7日,美浦田中剛,510(0)
8,8,15,サーブルルミエール,牡3,56,武藤,01:29.2,1.1/2,11,81.4,40.2,5月6日,美浦伊藤大,460(0)
9,3,5,ジネン,牡3,56,吉田豊,01:30.9,大,7,37.9,39.1,11月12日,栗東高橋忠,476(0)
10,4,7,スズカワッペン,牝3,53,☆野中,01:31.3,2.1/2,15,273.1,39.9,8月10日,美浦小島,390(0)
11,7,13,ノアエリザベス,牝3,54,武士沢,01:31.8,3,12,197.2,40.3,12月10日,美浦古賀史,416(0)
12,5,9,グラスエメラルダ,牝3,53,☆菊沢,01:32.0,1.1/2,9,54.4,39,14-14,美浦松山,418(0)
13,3,6,ヴォロンティエ,牝3,54,大野,01:32.0,ハナ,6,34.6,39,13-14,美浦小島,418(0)
14,6,11,ミニマムーン,牝3,54,内田博,01:32.0,クビ,14,225.8,39.2,14-13,美浦松山,428(0)
15,2,3,ハリスン,牡3,56,柴田未,01:32.7,4,13,216.1,41.5,8月9日,美浦和田雄,454(0)
16,4,8,ハピネスサンダー,牡3,56,伊藤,01:34.2,9,16,355.2,39.6,16-16,美浦本間,498(0)
1,3,5,カフェスペランツァ,牡3,56,北村宏,01:38.9,,6,13.8,37.2,4月4日,美浦中舘,502(+4)
2,8,16,ディーエスプルーフ,牡3,56,ルメー,01:39.6,4,1,3,37.7,7月7日,美浦伊藤圭,452(+4)
3,1,1,カッチョカバロ,牡3,56,石橋脩,01:39.7,3月4日,2,3.6,38.3,1月1日,美浦牧,496(+6)
4,8,15,サイモンルグラン,牡3,56,田辺,01:39.8,3月4日,3,5.7,37.9,10月7日,美浦勢司,494(-4)
5,7,14,アバグネイル,牡3,56,ミナリ,01:39.9,1月2日,5,9.7,37.7,10月10日,美浦手塚,506(+6)
6,6,12,トリトン,牡3,56,内田博,01:39.9,アタマ,4,7.1,38.3,4月4日,美浦古賀慎,510(+18)
7,2,3,セイカタチバナ,牡3,56,津村,01:40.0,クビ,13,81.7,38.1,7月7日,美浦南田,482(0)
8,1,2,コスモケルビン,牡3,56,木幡巧,01:40.5,3,11,64.2,39,2月2日,美浦佐藤,514(+28)
9,4,8,レベンディス,牡3,56,丸山,01:40.5,クビ,7,31,38.3,12月10日,美浦高柳瑞,502(-2)
10,3,6,セントガブリエル,牝3,53,☆菊沢,01:40.7,1,8,34.1,38.9,4月6日,美浦菊沢,448(-10)
11,5,10,イッツオーライト,牡3,56,柴田善,01:40.8,3月4日,9,39,38.3,13-13,美浦竹内,450(-6)
12,2,4,アカリリチャード,牡3,55,☆野中,01:41.6,5,16,280.3,39.2,13-13,美浦上原,472(0)
13,4,7,セイウンハテンコウ,牡3,56,武士沢,01:42.0,2.1/2,12,81,39.2,15-15,美浦武市,506(0)
14,5,9,ソルレオーネ,牡3,56,大野,01:42.3,2,10,56.1,40.8,2月2日,美浦大竹,486(-2)
15,7,13,ユニバーサルタイム,牡3,56,宮崎,01:42.5,3月4日,14,152.2,39.5,15-16,美浦中川,494(+2)
16,6,11,キタノリベラル,牡3,56,江田照,01:45.8,大,15,201,43.7,7月10日,美浦小笠,516(+10)
1,7,13,ムーランアンディゴ,牡3,56,大野,01:26.0,,1,2.2,36.8,8月8日,美浦田中博,486(+2)
2,4,7,カイアワセ,牝3,54,武士沢,01:26.1,3月4日,14,120.6,37,8月8日,美浦星野,436(-2)
3,3,4,テンサイドカップ,牝3,54,内田博,01:26.2,1月2日,8,21.3,37.3,5月5日,美浦矢野,466(0)
4,6,11,スズカコーズマンボ,牡3,56,北村宏,01:26.3,1月2日,5,13.2,36.4,15-15,美浦伊藤圭,476(+12)
5,6,10,ミツカネプリンス,牡3,56,津村,01:26.4,3月4日,11,27.2,37,12月11日,美浦鈴木伸,450(0)
6,5,8,ファイヴレター,牡3,55,☆菊沢,01:26.7,2,13,72.9,37.5,8月8日,美浦佐藤,448(+4)
7,3,5,プリンサン,牝3,54,武藤,01:26.8,クビ,15,166.3,37.4,12月11日,美浦伊藤圭,424(0)
8,1,1,ハヤブサペコムスメ,牝3,54,松岡,01:27.0,1.1/4,12,28.9,38.3,2月2日,美浦尾形,454(+2)
9,5,9,メイショウユリシス,牝3,54,柴田善,01:27.0,アタマ,4,9.9,37.3,14-14,栗東高橋亮,466(-2)
10,8,15,ナムラボス,牡3,56,丸山,01:27.2,1.1/2,10,25.6,38.8,1月1日,栗東羽月,460(+2)
11,8,14,サトノポーラスター,牡3,56,ミナリ,01:27.3,1月2日,3,9.1,38.7,2月2日,美浦大和田,512(-2)
12,4,6,ペイシャチャーム,牝3,54,横山和,01:27.4,クビ,7,17.4,38.4,5月5日,美浦高市,442(0)
13,7,12,アポロティアモ,牡3,56,石川,01:27.5,3月4日,2,6.4,38.5,5月5日,美浦岩戸,492(0)
14,2,3,ハディア,牡3,56,石橋脩,01:28.1,3.1/2,9,22,39.5,2月2日,美浦粕谷,468(+14)
15,2,2,セレンディピア,牡3,54,△木幡育,01:28.4,1.3/4,6,13.9,39.1,11月11日,美浦尾形,460(-2)
1,8,16,スパングルドスター,牝3,54,Ｍデム,01:49.3,,2,4.6,34.4,2004/4/2,美浦藤沢和,434(-10)
2,6,11,レッドペルーシュ,牝3,54,田中勝,01:49.3,クビ,11,79.7,33.7,14-13-13,美浦宗像,406(-2)
3,7,13,コトブキテティス,牝3,54,武藤,01:49.3,ハナ,1,2.4,33.8,2010/11/11,美浦田島,426(-6)
4,3,6,アプローズユウ,牝3,54,丸山,01:49.7,2.1/2,7,20.4,34.6,2006/6/5,美浦手塚,464(-6)
5,1,1,オウケンザパール,牝3,54,木幡巧,01:49.8,1月2日,14,149.2,34,16-15-15,美浦国枝,442(-2)
6,3,5,ガルナッチャ,牝3,54,横山和,01:49.8,ハナ,4,7,34.5,2010/8/8,美浦高市,438(-4)
7,6,12,カナワン,牝3,54,吉田豊,01:50.0,1,12,119.3,34.5,2010/11/11,美浦竹内,448(+10)
8,5,9,ソスピタ,牝3,53,☆野中,01:50.1,3月4日,3,5.6,35.1,2004/4/5,美浦畠山,428(-14)
9,4,8,デュアルネイチャー,牝3,54,内田博,01:50.1,クビ,10,45.9,35.1,2006/6/5,美浦国枝,440(-6)
10,8,15,ユースフルラヴ,牝3,54,津村,01:50.1,アタマ,8,34,34.9,2006/8/8,美浦田中博,412(-2)
11,2,4,ルレーヴドゥリリ,牝3,54,松岡,01:50.2,クビ,9,35.5,35,2006/8/8,美浦田中剛,486(+2)
12,7,14,パンゲア,牝3,54,北村宏,01:50.6,2.1/2,5,13.3,35.8,2001/3/2,美浦伊藤大,438(-4)
13,1,2,グロワールポン,牝3,54,柴田善,01:50.9,2,15,189.9,35,14-15-15,美浦田中清,474(-14)
14,2,3,セルフィーバイブス,牝3,53,☆菊沢,01:51.0,クビ,13,147.3,35.3,10-13-13,美浦国枝,448(+12)
15,4,7,デイジーテソーロ,牝3,52,△木幡育,01:51.3,2,16,272.6,36.4,2002/2/2,美浦畠山,414(-4)
16,5,10,リメインオブザデイ,牝3,54,石川,01:51.5,1.1/4,6,18.1,36.9,2002/1/1,美浦田島,402(+4)
1,2,2,エターナルボンド,牡3,56,田辺,02:27.2,,4,5.6,34.2,3-4-4-2,美浦伊藤圭,510(+2)
2,6,10,リアム,牡3,56,ルメー,02:27.5,1.3/4,1,2.3,34.6,10-2-2-2,美浦萩原,520(0)
3,5,9,ウシュバテソーロ,牡3,56,江田照,02:27.8,1.3/4,3,5.3,34.3,9-8-8-7,美浦高木,514(0)
4,1,1,ラインストリーム,牡3,56,武藤,02:28.5,4,8,32.9,34.9,13-13-11-10,美浦武藤,452(+2)
5,2,3,カランクール,牝3,54,吉田豊,02:28.5,ハナ,6,25.2,35.1,4-6-7-7,美浦粕谷,474(-2)
